$招商银行(SH600036)$，又拉起来
有20的成长没有？我想买点投资
$招商银行(SH600036)$别装了，下来吧
你为什么要护盘...现在追回去亏死我了
今天又要放量
$招商银行(SH600036)$今天真的牛逼，
妖镍重演砸指数对抗加息？全球粮食减产，中粮糖业一字压盘遭外资抢筹死量，蓄势反转？
继续买入招行，让大资金抬轿[偷笑]
进了
分红很少很少，股息率很少。跌一半正常
【财经热闻】国家药监局：加快推动新冠病毒治疗药物、新冠病毒抗原检测试剂个人自测产品审批上市
国联证券股份有限公司
周末出年报超预期！
今天表现不错不错
惨烈！还在跑。。。
知名财经自媒体
可以了，任务完成啦
大家字典我，想买点投资，今年有20的增长没有？
转发
这么大幅的反弹，昨天抄底的可以出了，3个点不香么
高开，玩个毛啊
$招商银行(SH600036)$泰山压顶，下午40以下。
走势不错，加油！再接再厉
$招商银行(SH600036)$碰一下五日线应该比登天还难[惨!关灯吃面]
$招商银行(SH600036)$我看这货好日子到头了！
36以下再动作
有国外的布局没？
今晚加息呢，急什么别又被套了啊
大盘被小坤等人给砸了，迅速赎回基金。
地产的影响力使招行也招安了！累积的风控能安全吗？小散看到的是加投地产更加有点慌了
今年还有20的成长？高度怀疑中
昨天抄底的赶紧跑，这沟壁股市一会就给你套住
$招商银行(SH600036)$有种被港股价格牵着鼻子走的感觉，这样真心不好
$招商银行(SH600036)$把韭菜最后一段激情都收割了
$招商银行(SH600036)$反抽反弹不跑，我也是服了。这趋势
$招商银行(SH600036)$只是反弹，千万不要买
$招商银行(SH600036)$招商银行:今天我竟然不挨揍了？？？？？
39.70元成本全部抛出，一身汗
H股上市银行股价遭遇“倒春寒”两家“A+H”银行AH股溢价率破百
金融投资报社
抄底好比抓奖，中奖的几乎没有，明白了就知道怎么干了
北向资金今日大幅净卖出86.99亿元 净卖出宁德时代26.31亿元
所有的拉升都是护盘，所有的下砸都是为下一次护盘[旺柴]
分批出货
兰花科创(600123)2021年年报业绩预增点评：2021年业绩预增4.7-5
40.85出清
破颈线后反抽
大盘贡献点，第一
$招商银行(SH600036)$招行，你算银茅吗？如果是，那见底还早
给我往下砸啊，听话，乖
诱多闷杀开始。。。
$招商银行(SH600036)$宇宙第一，带大A超级反弹吧
兰花科创(600123)2021年年报业绩预增点评：2021年业绩预增4.7-5
今天再也不敢抄底了，能赚钱出来，等于死里逃生
满仓干
60分钟沾不上去
$招商银行(SH600036)$跑路的机会来了，破不了昨天的大阴跌……感觉还要挨
今晚美加戏，不进了
快跑
$招商银行(SH600036)$不会这样吧
跌的你跌没脾气
$招商银行(SH600036)$外资净买入，铁成这样，是不是用大数据看一下！
$招商银行(SH600036)$把你们跌绝望
招商银行会不会破净资产大家猜猜
用益-银行理财动向：养老理财业绩基准最高8%，如何实现？
南昌用益投资理财顾问有限公司
今天有可能重上41！
昨天收盘前抄底招商银行，今天坐等大资金做牛做马地为我抬轿[大笑]
明天跌，后天跌，后后天跌，休息两天继续跌，一直跌
但是通常是跟跌不跟涨的，今天最多少跌些！
故事结束了，3开头的招商已经不远了！
点评招商银行：当心多杀多
年报要出来，会有一波反弹，仅仅是反弹
银行今年贷款业务很可能都有不少亏损，股权投资及权益类投资这块包括美股港股a股及基
蔚来港交所挂牌，多款车型交付在即！造车新势力“蔚小理”齐聚港股
跌出快感来了
$招商银行(SH600036)$大家成本都是多少啊。这个位置怕是没有人能赚钱吧
明天我挂37元买入
靠，今天北向竟然是买入？？？？？
明天高开就跑！
好像20~30之间有个大平台，在那里有支撑的，希望了！
招商银行：融资净买入1.33亿元，两市排名第五（03-15）
平安银行都腰斩了
转发
能抄了吗
上证指数：守卫3000～贵州茅台，招商银行，万科A，中国平安，三一重工，金龙鱼等
$招商银行(SH600036)$优质资产，你回来了
再跌就回到解放前了
招商银行，美联储加息后就是大利好。周三国内超级主力会进来买大金融！放心吧！
历史上，招行月线没有跌超20%的吧
晓逢：3.15沪深股市大双底落成？“打假”！不敢抄底就对了！
前两月经济数据出炉！恢复好于预期，这些领域出现积极变化
天弘基金管理有限公司
买银行股不能单纯只看市盈率，为什么招商银行市盈率要比其他银行市盈率高，我说下我的
$招商银行(SH600036)$慢慢长熊，什么时候割都不晚，预计跌幅两个90%就
$招商银行(SH600036)$明天41
跌得妙，还会跌
"$招商银行(SH600036)$几天没关注,怎么这么便宜了[为什么]"
招商证券垃圾太垃圾了害老子赔了几千块钱也不管
我的信仰崩塌了，招商银行都这样跌，牛啊
真好[鼓掌][加油][为什么]
$招商银行(SH600036)$招商银行，YYDS，别人恐惧我贪婪，别人小亏我破
$招商银行(SH600036)$割肉了，亏了9%，定海神针的时候买进的！明天会大
今天的资金流向看出来了吧，说是北向资金出逃，全是假的，真实的全是内资在砸盘
$招商银行(SH600036)$，今天割肉了一部分，明天买不回来了
$招商银行(SH600036)$系统坏了坑我几万块，没我停就不错了
这是内资砸盘，里应外合啊
月底发工资又可以加仓了
明天开始连续跌停，北上资金要卖出全部的白酒股和银行股
